Date, Open, High, Low, Close, Adj Close, Volume
Aug 31 2021, 2917.69, 2922.24, 2900.00, 2909.24, 2909.24, 1337800
Aug 30 2021, 2894.09, 2929.79, 2892.00, 2909.39, 2909.39,  845800
Aug 27 2021, 2842.25, 2900.22, 2840.40, 2891.01, 2891.01, 1228100
Aug 26 2021, 2852.37, 2862.70, 2841.83, 2842.46, 2842.46,  746100
Aug 25 2021, 2857.66, 2866.26, 2848.79, 2859.00, 2859.00,  641900
Aug 24 2021, 2830.87, 2860.15, 2827.07, 2847.97, 2847.97,  756300
Aug 23 2021, 2779.97, 2843.54, 2774.96, 2821.99, 2821.99, 1054500
Aug 20 2021, 2741.66, 2772.29, 2729.34, 2768.74, 2768.74,  778200
Aug 19 2021, 2709.35, 2749.04, 2707.12, 2738.27, 2738.27,  914800
Aug 18 2021, 2742.31, 2765.88, 2728.42, 2731.40, 2731.40,  746700
Aug 17 2021, 2763.82, 2774.37, 2735.75, 2746.01, 2746.01, 1063600
Aug 16 2021, 2760.00, 2779.81, 2723.31, 2778.32, 2778.32,  902000
Aug 13 2021, 2767.15, 2773.48, 2760.10, 2768.12, 2768.12,  628600
Aug 12 2021, 2754.26, 2768.36, 2735.58, 2767.79, 2767.79,  732300
Aug 11 2021, 2765.66, 2776.96, 2747.00, 2753.79, 2753.79,  760200
Aug 10 2021, 2761.59, 2771.03, 2744.53, 2761.93, 2761.93,  801700
Aug 09 2021, 2738.98, 2766.43, 2728.57, 2760.04, 2760.04,  618700
Aug 06 2021, 2725.90, 2741.60, 2720.93, 2740.72, 2740.72,  678000
Aug 05 2021, 2720.57, 2739.00, 2712.00, 2738.80, 2738.80,  593300
Aug 04 2021, 2724.99, 2730.76, 2708.30, 2720.57, 2720.57,  826400
Aug 03 2021, 2720.00, 2726.71, 2683.67, 2725.60, 2725.60,  953200
Aug 02 2021, 2709.69, 2720.41, 2693.39, 2719.79, 2719.79, 1007000

