Unnamed: 0,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
1,1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False
3,1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False
11,1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True
31,1,1,female,,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False
52,1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False
61,1,1,female,38.0,0,0,80.0,,First,woman,False,B,,yes,True
88,1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False
136,1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False
151,1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False
166,1,1,female,,0,1,55.0,S,First,woman,False,E,Southampton,yes,False
177,0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True
194,1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True
195,1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True
215,1,1,female,31.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False
218,1,1,female,32.0,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True
230,1,1,female,35.0,1,0,83.475,S,First,woman,False,C,Southampton,yes,False
256,1,1,female,,0,0,79.2,C,First,woman,False,,Cherbourg,yes,True
257,1,1,female,30.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True
258,1,1,female,35.0,0,0,512.3292,C,First,woman,False,,Cherbourg,yes,True
268,1,1,female,58.0,0,1,153.4625,S,First,woman,False,C,Southampton,yes,False
269,1,1,female,35.0,0,0,135.6333,S,First,woman,False,C,Southampton,yes,True
275,1,1,female,63.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False
290,1,1,female,26.0,0,0,78.85,S,First,woman,False,,Southampton,yes,True
291,1,1,female,19.0,1,0,91.0792,C,First,woman,False,B,Cherbourg,yes,False
297,0,1,female,2.0,1,2,151.55,S,First,child,False,C,Southampton,no,False
299,1,1,female,50.0,0,1,247.5208,C,First,woman,False,B,Cherbourg,yes,False
306,1,1,female,,0,0,110.8833,C,First,woman,False,,Cherbourg,yes,True
307,1,1,female,17.0,1,0,108.9,C,First,woman,False,C,Cherbourg,yes,False
309,1,1,female,30.0,0,0,56.9292,C,First,woman,False,E,Cherbourg,yes,True
310,1,1,female,24.0,0,0,83.1583,C,First,woman,False,C,Cherbourg,yes,True
311,1,1,female,18.0,2,2,262.375,C,First,woman,False,B,Cherbourg,yes,False
318,1,1,female,31.0,0,2,164.8667,S,First,woman,False,C,Southampton,yes,False
319,1,1,female,40.0,1,1,134.5,C,First,woman,False,E,Cherbourg,yes,False
325,1,1,female,36.0,0,0,135.6333,C,First,woman,False,C,Cherbourg,yes,True
329,1,1,female,16.0,0,1,57.9792,C,First,woman,False,B,Cherbourg,yes,False
334,1,1,female,,1,0,133.65,S,First,woman,False,,Southampton,yes,False
337,1,1,female,41.0,0,0,134.5,C,First,woman,False,E,Cherbourg,yes,True
341,1,1,female,24.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False
356,1,1,female,22.0,0,1,55.0,S,First,woman,False,E,Southampton,yes,False
366,1,1,female,60.0,1,0,75.25,C,First,woman,False,D,Cherbourg,yes,False
369,1,1,female,24.0,0,0,69.3,C,First,woman,False,B,Cherbourg,yes,True
375,1,1,female,,1,0,82.1708,C,First,woman,False,,Cherbourg,yes,False
380,1,1,female,42.0,0,0,227.525,C,First,woman,False,,Cherbourg,yes,True
383,1,1,female,35.0,1,0,52.0,S,First,woman,False,,Southampton,yes,False
393,1,1,female,23.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False
412,1,1,female,33.0,1,0,90.0,Q,First,woman,False,C,Queenstown,yes,False
435,1,1,female,14.0,1,2,120.0,S,First,child,False,B,Southampton,yes,False
457,1,1,female,,1,0,51.8625,S,First,woman,False,D,Southampton,yes,False
486,1,1,female,35.0,1,0,90.0,S,First,woman,False,C,Southampton,yes,False
496,1,1,female,54.0,1,0,78.2667,C,First,woman,False,D,Cherbourg,yes,False
498,0,1,female,25.0,1,2,151.55,S,First,woman,False,C,Southampton,no,False
504,1,1,female,16.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True
513,1,1,female,54.0,1,0,59.4,C,First,woman,False,,Cherbourg,yes,False
520,1,1,female,30.0,0,0,93.5,S,First,woman,False,B,Southampton,yes,True
